content_type,Human Generated Mean,AI Generated Mean,Human Generated Median,AI Generated Median,Human Generated StdDev,AI Generated StdDev
academic_paper,7.595760869565217,7.749432989690722,7.59,7.74,0.7822270035260797,0.7671904493455391
article,7.531578947368421,7.73671052631579,7.55,7.63,1.2997078769898716,1.7067750393908738
blog_post,7.697756410256409,7.533380952380952,7.515,7.36,1.8314392976378995,1.6550164848176938
creative_writing,7.673749999999999,7.782738095238095,7.515,7.734999999999999,1.5687492730226829,1.3437202010732114
essay,7.345609756097561,7.683607594936709,7.29,7.54,1.0403796168053931,0.9083896489395681
news_article,7.410852272727272,7.500721649484537,7.34,7.515,1.8109977280574536,1.4791438947233129
product_review,7.436506024096386,7.599420289855073,7.34,7.515,1.5977325272465988,1.3952910660482396
social_media,7.706089743589744,6.876118421052632,7.609999999999999,6.404999999999999,4.210988921042205,3.3228199468407564
