content_type,Human Generated Mean,AI Generated Mean,Human Generated Median,AI Generated Median,Human Generated StdDev,AI Generated StdDev
academic_paper,52.195869565217386,51.64278350515464,52.19,51.68,3.4113540710668584,4.066761288756087
article,51.98389473684211,50.57105263157895,52.19,52.07,7.568916178453911,10.157940812185295
blog_post,52.66487179487179,52.38361904761904,52.2,51.75,9.513198452074086,8.075458920492183
creative_writing,51.88261363636364,51.4422619047619,52.19,51.974999999999994,8.722649008991752,7.8728617829523095
essay,52.53731707317073,51.89873417721519,52.19,52.19,5.208117844142002,5.693650617267381
news_article,52.9125,52.837216494845364,53.59,52.19,9.948977449911652,6.988401811553562
product_review,52.048554216867466,51.122608695652175,52.41,51.72,10.303088352117383,7.056737008864382
social_media,51.224487179487184,55.45302631578948,52.19,58.69499999999999,22.79149537485225,19.39619089888437
