content_type,Human Generated Mean,AI Generated Mean,Human Generated Median,AI Generated Median,Human Generated StdDev,AI Generated StdDev
academic_paper,6.719347826086956,6.717628865979382,6.725,6.73,0.11019268187170732,0.09951730582203093
article,6.688631578947368,6.759868421052632,6.71,6.74,0.185871212141094,0.2832878085201344
blog_post,6.682307692307693,6.696190476190476,6.67,6.66,0.2422241265285674,0.20771365715802934
creative_writing,6.697613636363636,6.706190476190477,6.695,6.7,0.2620476148633879,0.20115273081174795
essay,6.705487804878049,6.722151898734177,6.7,6.72,0.15107150166353364,0.1660218620611335
news_article,6.695795454545455,6.707835051546391,6.68,6.67,0.2495822790225498,0.23913135687718645
product_review,6.710843373493976,6.748695652173914,6.69,6.74,0.2458246689246126,0.1917022280661449
social_media,6.6674358974358965,6.585657894736842,6.59,6.625,0.6107126684210532,0.5617812991460072
