content_type,Human Generated Mean,AI Generated Mean,Human Generated Median,AI Generated Median,Human Generated StdDev,AI Generated StdDev
academic_paper,0.9348869565217391,0.9293886597938145,0.9353,0.9266,0.02156778844313343,0.0244045456672892
article,0.9740578947368421,0.9768947368421053,0.9746,0.9751,0.01952987116857513,0.017429613839568897
blog_post,0.9730230769230769,0.9721942857142857,0.97045,0.973,0.01890850096098072,0.020118494307149654
creative_writing,0.9751818181818183,0.9711559523809524,0.9776,0.9713,0.018413672740185606,0.021047080621703823
essay,0.9579731707317073,0.9542037974683544,0.961,0.9547,0.021578167113895055,0.02053970790393495
news_article,0.9708443181818183,0.9709350515463918,0.9693,0.9691,0.019923410004224856,0.018345214187658467
product_review,0.9710566265060241,0.9694956521739131,0.9701,0.9701,0.020337255209500672,0.019783396445910425
social_media,0.9963294871794872,0.9961263157894737,1.0,1.0,0.011423865529220116,0.018955719407229416
