content_type,Human Generated Mean,AI Generated Mean,Human Generated Median,AI Generated Median,Human Generated StdDev,AI Generated StdDev
academic_paper,62.387173913043476,65.9118556701031,57.555,58.88,27.843856912246228,28.80897315109684
article,61.39863157894737,57.00315789473684,57.67,53.66,27.72447607511128,25.793414054006178
blog_post,62.4824358974359,58.68895238095238,56.010000000000005,54.71,29.30197897602519,28.105461621015998
creative_writing,61.41090909090909,59.8322619047619,58.285,54.275,28.733342386177345,28.42372682512578
essay,64.80536585365854,62.669746835443036,59.09,55.6,26.748432984914256,27.656221397478873
news_article,62.49136363636364,62.617010309278356,56.644999999999996,58.38,29.46769254397515,28.376097341664916
product_review,71.1855421686747,60.8236231884058,65.71,55.85,30.025039073227035,26.436340961717075
social_media,65.2448717948718,66.08381578947369,58.64,57.765,26.427319234674595,30.283990224411983
