content_type,Human Generated Mean,AI Generated Mean,Human Generated Median,AI Generated Median,Human Generated StdDev,AI Generated StdDev
academic_paper,0.027093478260869563,0.02725360824742268,0.0273,0.0273,0.001016761109291839,0.001067128336517187
article,0.02732,0.02738026315789474,0.0271,0.02735,0.0018311489243037348,0.0025227508655879124
blog_post,0.027278205128205127,0.027402857142857142,0.02715,0.0271,0.0019761334039237405,0.0017472207129553558
creative_writing,0.026977272727272728,0.026917857142857143,0.0272,0.0265,0.0021820441366801136,0.00181474288492395
essay,0.027368292682926832,0.02720506329113924,0.0274,0.0273,0.001640300939626138,0.0013948530603778446
news_article,0.027457954545454546,0.0273680412371134,0.02735,0.0273,0.00208054599326572,0.0020268276932886493
product_review,0.026996385542168672,0.02708840579710145,0.0271,0.027,0.0021554494626712752,0.0017145172731605541
social_media,0.02881153846153846,0.02942763157894737,0.0282,0.028650000000000002,0.005762867719776704,0.006927656625135911
